Index,I (A),H (mT)
0,0.37,1.96615
1,0.38,2.0101
2,0.39,2.05405
3,0.4,2.098
4,0.41,2.14195
5,0.42,2.1859
6,0.43,2.22985
7,0.44,2.2738
8,0.45,2.31775
