
0.249167,1.09814,-0.812412,0.061805
0.249167,1.11754,-0.81854,0.0598137
0.249167,1.13695,-0.795501,0.0600864
0.249167,1.15635,-0.810345,0.0620455
0.249167,1.17575,0.656212,0.0583231
0.295833,1.09814,-0.76766,0.0762437
0.295833,1.11754,-0.800766,0.080744
0.295833,1.13695,-0.761539,0.0793165
0.295833,1.15635,-0.8,0.0808623
0.295833,1.17575,0.572536,0.0741988
0.348333,1.09814,-0.454651,0.191579
0.348333,1.11754,-0.454545,0.166007
0.348333,1.13695,-0.348837,0.161873
0.348333,1.15635,-0.263158,0.13735
0.348333,1.17575,0.727241,0.152913
