0.246667,1.96615,0.351389,0.0515101
0.246667,2.05405,1.03912,0.126016
0.246667,2.14195,0.776553,0.108868
0.246667,2.22985,1.01938,0.125392
0.246667,2.0101,0.373444,0.0530922
0.246667,2.098,0.876265,0.115489
0.246667,2.1859,0.910045,0.118015
0.246667,2.2738,0.929434,0.119584
0.293333,1.96615,0.37747,0.073032
0.293333,2.05405,0.216497,0.0511853
0.293333,2.14195,0.329633,0.0637337
0.293333,2.22985,0.316547,0.0623581
0.293333,2.0101,0.391059,0.0743123
0.293333,2.098,0.312874,0.0616313
0.293333,2.1859,0.207339,0.0504349
0.293333,2.2738,0.377422,0.0681488
0.22,1.96615,0.275201,0.0426299
0.22,2.05405,0.784716,0.11961
0.22,2.14195,0.87963,0.128538
0.22,2.22985,0.98907,0.13647
0.22,2.0101,0.307655,0.0450717
0.22,2.098,1.05276,0.139089
0.22,2.1859,1.0069,0.137697
0.22,2.2738,1.0257,0.139045
