Index,I (A),H (mT)
0,0.295,-1.466812075
1,0.3,-1.486216
2,0.305,-1.505619925
3,0.31,-1.52502385
4,0.315,-1.544427775
5,0.32,-1.5638317
6,0.325,-1.583235625
